Product category,Product name,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb
A,A 20251.5 GREY S2 195KG DRUM ST,,,,,4473,,,3666,4409,1443,,,,,,742,,742,742,,742,742,742,742
A,A 20251.5 ALUM S1 195KG DRUM ST,,,747,,,,,,731,,,712,742,,,,,742,,,,742,,
A,#VALUE!,,"1,166","1,199",630,1709,690,,950,3901,1326,1140,1169,600,600,1200,1200,1200,1800,1200,1800,1800,1200,1800,1800
E,#VALUE!,,526,,,526,1051,,,,526,,,263,263,263,263,263,263,263,263,263,263,,263
E,#VALUE!,,"1,102",,398,757,405,398,750,375,,734,405,298,291,291,291,298,291,291,291,298,291,291,291
A,A 11155 BLAC S1 CART 280 WLPA SEA ZJG,"3,600","1,080",,,5040,1808,,3600,1800,1080,1155,,1260,1335,1328,1335,1335,1328,1335,1335,1328,1335,1335,1328
A,A 11155 TRAN S1 CART 280 WLPA SEA ZJG,"6,855","1,080",,,14040,6120,,11880,6120,1440,1080,,4140,4133,4140,4133,4133,4140,4133,4133,4140,4133,4133,4140
A,A 11155 WHIT S1 CART 280 WLPA SEA ZJG,"2,520",720,,2205,3915,2880,,7560,,2880,,,1500,1500,1500,1493,1500,1500,1493,1500,1500,1500,1493,1500
A,A 11155 TRAN S1 CART 300 WL138TRAN WZJG,,453,453,,1,,453,,,,,,177,177,177,177,177,177,177,177,177,177,177,
A,A N2014 CN WHITE S1 200kg Drum,573,,,,,,,,667,670,,,,,,,,,600,600,600,,,
E,E  CN GREY S6 CART 300 SIKZH,"1,051",,"1,073",,,1007,,1051,,1577,1051,,526,690,635,690,537,285,602,690,569,635,777,777
A,A 11040 TRAN S1 SEA 200KG DRUM ST,"27,200",,,600,,1200,400,17200,,,,800,15200,,7400,10200,10200,10200,10200,6800,6800,3400,15400,15200
A,A 11040 WHIT S1 SEA 200KG DRUM ST,,,600,,2325,,,20200,,,,,12400,400,10200,10200,10200,10200,10200,6800,6800,3400,4600,4600
A,A 11040 BLAC S1 SEA 200KG DRUM ST,,,,24400,,,,16400,,,,,12000,1600,10200,10200,10200,10200,10200,6800,6800,3400,7600,7600
A,A 13800 ALUM 13 CART 280 WLGPAL SEA ZJG,"2,327",,"2,327",4321,3656,9307,2327,5318,1662,,,,2659,568,3227,3227,3227,3220,3227,3227,3227,3220,3227,3227
A,A 13800 BEIG S1 CART 280 WLGP SEA ZJG,,,,,,,,,,,332,,166,,,166,,,,,,,166,
A,A 13800 BLAC S1 CART 280 WLGPBL SEA ZJG,"5,318",,"4,654",22271,11634,3989,15955,5651,4321,2659,,10304,3324,3643,9328,9328,9328,9328,9328,9328,9328,9328,9335,9328
A,A 13800 BRON S1 CART 280 WLGPBR SEA ZJG,"38,558","2,659","1,330",,997,,997,,19944,9972,,3989,3573,5997,6066,6059,6066,6059,6059,6066,6059,6066,6059,6059
A,A 13800 GREY S3 CART 280 WLGPAG SEA ZJG,"3,324",,,,1662,,,,665,,1330,,215,970,970,963,970,970,970,963,970,970,963,970
A,A 13800 TRAN S1 CART 280 WLGPTR SEA ZJG,"32,340","3,383","12,224",29040,53797,9900,19470,32979,10230,16500,,10890,12210,10766,24454,24454,24454,24454,24461,24454,24454,24454,24454,24454
A,A 13800 WHIT S1 CART 280 WLGPWH SEA ZJG,"39,223","3,989","12,680",25546,22603,24930,12631,32575,19279,17950,,12631,9307,19605,22610,22610,22610,22610,22610,22610,22610,22610,22610,22610
F,F PASTE FN55 ZJG,,650,,,1920,,,,1933,,,,2600,800,600,800,600,600,600,600,400,400,400,400
A,A 20930 TRAN S1F CART 300 WLKB WZJG,,931,"1,934",,1971,931,1396,1563,,924,1963,1862,480,1164,1164,1171,807,996,1127,756,873,793,1025,1025
A,A 20930 WHITE S1F CART 300 WLKB WZJG,,940,"1,058",1013,1410,2827,1880,1880,,1410,2614,1410,1924,1498,1491,1491,1036,1263,1447,962,1102,1013,1307,1307
A,A 20470 BLAC 06 ZJG BARR 270KG Inner,,,,,,,,,,,,,6312,,,,,,,,,,,
A,A 9890 TRAN S1 210KG DRUM ST Inner,,,,,,,,,,,,,15400,,,,,,,,,,,
A,A 20251.5 BLAC S1 CART 300 WLOS WZJG,,,,,1013,,,,,538,,,182,203,210,223,175,,175,175,,175,175,
A,A 20251.5 WHIT S1 CART 300 WLOS WZJG,,936,,1453,2675,950,922,,1774,1292,,,1592,1208,1306,1348,957,510,1292,629,1083,1194,1006,1013
A,A 16330 TRAN S1 210KG DRUM ST,,942,728,686,3023,805,1425,2387,,,2482,1637,755,2265,1510,755,2265,,755,1510,1510,755,755,755
A,A 16330 WHIT S1 210KG DRUM ST,,"1,675",795,780,2225,1549,730,2279,840,2245,1643,1641,750,2250,3750,750,2250,750,750,2250,1500,750,1500,750
A,A 20930 WHIT S1 CART 300 SIKACWHIT,290,355,"1,076",,,1392,3173,3547,1036,397,2820,727,1605,1575,1572,907,903,1127,2166,2567,2244,2244,1091,1091
A,A N S1 CART 300 SIKAMPTRAN,,"1,782",,,,545,400,1025,,1745,,,,,,,,,,,,,,
A,A 20700 WHIT S1 CART 300 SIKAMPWHIT,,"1,793",,,,487,738,1407,,1753,349,,,,,,,,,,,,,
A,A 20930 TRAN S1 CART 300 SIKACTRAN,273,382,"1,091",,,305,2094,698,1414,574,2582,1047,898,884,884,596,596,629,1138,1516,1258,1258,611,614
A,A 11500 TRAN S1 CN 200 KG DRUM ST,"14,400",,"14,402",,400,,51200,3200,24000,,7200,4800,13600,10400,11200,8000,5600,7200,8800,8000,8800,10400,9600,8800
B,B 305 CN GREY S6 SAUS 600 C9004,,,"2,102",,2593,,,,,,,,420,385,350,368,298,263,263,350,315,350,420,438
B,B 305 CN GREY S3 SAUS 600 C9004,,,"5,554",,1402,,946,,2628,5974,4503,4222,1840,1734,1594,1734,1349,736,1489,1734,1437,1594,1962,1945
B,B 300 CN TRAN S1 SAUS 600 C9004,979,453,526,1004,,,477,1469,,1995,490,2044,979,588,600,673,514,269,575,661,551,612,747,747
A,A 11155 TRAN S1 CART280 WLPA VIETNAM ZJG,"9,360",,"5,843",,,4320,,2160,5423,26640,37800,,12600,3615,3615,3608,3615,3608,3615,3608,3615,3608,3615,3608
A,A 11155 WHIT S1 CART280 WLPA VIETNAM ZJG,"1,440",,,3600,,5040,,1800,,11160,10815,,4320,1440,1455,1448,1455,1448,1455,1455,1448,1455,1448,1455
A,A 11155 BLAC S1 CART 280WLPA VIETNAM ZJG,,,,1470,,1440,,1440,,5400,3240,2235,2160,488,563,563,555,563,563,563,555,563,563,563
A,A 13800 TRAN S1 CART 280 WLGPTR ANH ZJG,"2,970",,,,,,,,6600,,,,,646,646,646,646,646,639,646,646,646,646,646
B,B 305 CN WHIT 19 SAUS 600 C9004,,,,,,,,,1489,,,,263,263,,,263,,,263,,263,,263
B,B 305 CN GRAY S4 SLBL 600 C9004,"2,698",,,,,,,,,,,,263,263,263,263,263,,263,263,,263,263,263
B,B 305 CN BLAC 05 SAUS 600 C9004,,,"4,906",4906,,,4450,1542,5238,,10092,2821,2926,2102,1927,2102,1647,876,1805,2102,1752,1927,2365,2365
A,A 20251.5 ALUM S1 CART 300 WLOS WZJG,,,,,,,,,705,,,538,622,,175,175,,,175,,,175,,175
A,A 20251.5 TRAN S1 CART 300 WLOS WZJG,,"7,221","11,524",15267,15316,7766,28837,18913,16203,23815,18989,18340,8430,21643,23375,24241,16063,8562,21713,10490,18242,19981,16957,16950
A,A 16330 TRAN S1  CART 300 SIKA ES TRAN,,415,"1,049",,423,349,1431,356,990,,797,356,680,848,480,407,381,436,890,690,467,489,530,458
A,A 16330 WHIT S1 CART 300 SIKAES WHIT,,323,"1,164",297,745,356,1046,1439,400,,1068,712,554,415,1370,220,648,390,593,1368,593,593,613,613
A,A 20251.5 TRAN S1 CART 300 WLWD WZJG,,,,,,,545,,,,,,175,175,,175,175,,,175,,175,,175
B,B 305 CN BLAC 05 CART 300 C9004,,,"1,621",,,,767,777,,,,1402,296,263,263,263,263,263,263,263,,263,263,307
A,A 13800 TRAN S1 CART 280 Araldite  INDIA,"2,534",,,,,,,,,8554,,,,779,779,779,779,772,779,779,779,779,772,779
A,A 13800 WHIT S1 CART 280 Araldite  INDIA,"3,510",,,,,,,,,,,,,1024,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017
A,A 13800 BLAC S1 CART 280 Araldite  INDIA,"2,553",,,,,,,,,,,,,1010,1010,1010,1010,1004,1010,1010,1010,1004,1010,1010
A,A 20700 RED 31 U CN 200KG DRUM ST,,,,,,,793,,,,1473,,739,,,,739,,,,,739,,
A,A 14030 TRAN S1F CART 280 W?CHIACTRA 710,"5,386",,,,,2851,4118,5386,,,,,1947,1947,1947,1947,1947,323,455,462,462,449,449,442
A,A 20700 RED 31  CART 300 WLGM WZJG,,,,,,,771,,,,683,727,184,184,184,184,184,184,,184,184,184,184,184
A,A 14030 WHIT S1F CART 280 W?CHIACBLAN710,"4,787",,,,,2872,3191,4467,,,,,1629,1629,1629,1629,1629,392,392,386,392,379,386,379
A,A 14030 BLAC S1F CART 280 W?CHIACNERG710,"1,655",,,,,,319,319,,,,,199,259,259,259,259,166,,166,,,166,
A,A 20240 TRAN S1 CART 300 W?CHINEUTRA 710,,,,,,,,,,,,,180,,1022,180,,,,,,,,
A,A 20240 TRAN S1 CART 300 W?TWNEUCL 035,,346,374,317,396,706,281,,,698,,1728,,,,,,,,,,,691,
A,A 20240 WHIT S1 CART 300 W?TWNEUWH 035,,,,346,,,,,,,,,346,,,,,,,,,,691,
A,A 20240 GREY S2 CART 300 W?TWNEUGR 035,,,,346,,346,,,,346,,,691,,,,,,,,,,,
A,A LAC S1 KART 300 W?TWNEUBL 035,,,,364,,,,,,,,,182,,,,,,,,,,,
A,A 18630 TRAN S1F 200KG DRUM ST,"6,123","3,086","3,734",21494,18543,6735,,28577,62363,,17789,69327,87516,70312,43384,44880,27676,37400,44132,27676,,11968,9724,9724
A,A 18400 TRAN S1 KART 300 WL500SEMI ZJG,,829,967,982,,,1571,,582,,931,945,851,378,393,1360,894,887,1185,793,822,1513,400,400
A,A 18400 WHITE S1 KART 300 WL500 WHITEZJG,,,,728,,,516,,,,,,182,182,,196,196,196,255,182,182,327,182,
A,A N S1 200KG DRUM 567 ST,"158,400","187,800",,158400,144000,187205,,144600,71400,,,,86400,172000,24000,25600,,,74400,21600,,,84800,109600
A,A 11155 TRAN S1 CART280 WLPA WZJG,"1,476","1,375","2,707",4169,872,468,3319,1742,1022,3708,1728,598,1462,2952,2952,2959,2952,2952,2959,2952,2952,2959,1606,1613
A,A 11155 WHIT S1 CART280 WLPA WZJG,,922,922,461,,461,461,,,922,490,,697,614,614,614,614,614,614,614,614,614,342,342
A,A 11155 BLAC S1 CART 280WLPA WZJG,,,922,1083,,,,,,,,,101,252,245,252,252,245,252,252,252,245,158,158
A,A 11500 WHIT S1 200KG DRUM 567 ST,"159,400","42,200",,57600,58543,42400,,57600,43200,,,,144000,72000,24000,25600,12000,12800,49600,21600,25600,50400,41600,42400
A,A 11500 ALUM 03 200KG DRUM 567 ST,"14,400","14,400",,,,14400,,,28800,,,,24000,74400,24800,24800,12800,12000,49600,21600,25600,50400,5600,6400
A,A 5754.6 GREY 103 270KG DRUM ST,,,,1020,,962,,,988,,,,2040,,,,1020,,,,1020,,1020,
A,A 18630 WHIT S1F 200KG DRUM ST,,841,"1,525",13617,10447,,,15306,27674,,6889,24055,45628,35904,20196,20196,11968,12716,15708,11968,,13464,4488,4488
A,A 5754.6 GREY103 SAUS 600 WLCS WZJG,,,,978,,,907,,,927,,,1512,,,,504,504,,504,,504,504,504
A,A 20251.5 TRAN S1 SAUS 600 WLOS WZJG,,,573,,,,,,,,,,559,,,,,,,,,,,
A,A 20378 C WHIT ZJG DR 270 KG,,,,,,,,,,953,,,1005,,1005,,,,1005,,,,,1005
A,A 20470 BLACK S6 SAUS 500 WLOS WZJG,"4,378","6,134","8,253",17251,7690,9288,14430,10454,10267,27288,4320,2362,6221,12413,12658,12658,10123,9490,12643,12658,12658,12643,1670,3456
A,A 20470 WHITE S7 SAUS 500 WLOS WZJG,792,,"1,843",,,749,1325,,2074,691,,1411,,864,893,893,720,691,864,893,878,893,691,
A,A 20251.5 TRANS S1 SAUS 500 WLOS WZJG,,,"2,891",4617,,,,,1348,951,,941,1203,1339,1445,1504,941,495,1271,611,1077,1164,989,999
A,A 20251.5 BLAC S1 SAUS 500 WLOS WZJG,,,572,,,,,,,,,,466,,,,466,,,,,466,,
A,A 20470 GREY 93 SAUS 500 WLOS WZJG,,994,,1008,907,,,,,950,,1570,691,,691,691,,691,,691,691,,,
A,A 20258.4 TRAN S1 SAUS 500 WLOSSEMI WZJG,,,,369,,,553,,951,1319,,,466,466,466,466,466,,466,,466,,466,466
A,A TE S1 210KG DRUM ST,,"2,226",,6098,767,2212,,,,2343,,,,,750,2250,1500,1500,,,,1500,750,
A,A N S1 200KG DRUM ST INTERNAL,806,,,48175,,,7300,,7316,44515,1000,46358,,,,,,,,,,,,
A,A 16100 WHITE S1 CART 300 WL400 ZJG,,"2,188",,3471,971,2284,,,,2254,,,,,749,2188,1535,1958,,,,801,734,734
A,A 20378 C BLAC 05 ZJG DR 270 KG,,,"2,005",1455,,2977,2998,,988,1005,,,1025,2050,1025,,1025,1025,,1025,1025,1025,2050,2050
A,A 5754.6 BLAC 06 SAUS 500 WLCS WZJG,,"3,164","4,032",672,3360,672,3444,4088,,4018,546,798,672,672,966,1218,1904,672,3822,1400,1526,1722,2366,2366
A,A 20378 C WHIT  CART 300 WLGA WZJG,,,403,,,,,,,867,,806,,206,206,69,41,83,83,55,41,109,206,206
A,A 11040 GREY 104 SEA 200KG DRUM ST,"68,000",,,26400,,,,13600,,,,,40800,13600,,,,,10200,6800,6800,3400,19200,19000
A,A 11155 GREY 104 SEA 200KG DRUM ST,"27,200",,,,,,,,,,,,65116,11136,11827,11136,11482,11827,11136,11827,11136,11482,12593,10370
A,A 20378 C BLACK  CART 300 WLGA WZJG,,,897,,,,,,,1048,,847,,98,300,100,68,138,138,92,68,182,343,343
A,A 13800 WHIT S1 CART280 WLGPWH INDIA EAS,332,,,,,665,,332,997,332,997,1330,997,1330,997,665,,,166,409,492,485,492,485
A,A 13800 WHIT S1 CART280 WLGPWH INDIA AUT,997,,,,,2659,2659,,2327,3656,2327,4986,3324,166,762,755,762,762,762,762,762,762,755,762
A,A 13800 TRAN S1 CART280 WLGPTR INDIA NCK,"3,300",,,,,,5610,,,3960,5610,5610,4620,,,,,,743,1822,1829,1829,1829,1829
A,A 13800 WHIT S1 CART280 WLGPWH INDIA NCK,"1,330",,,,,,665,,,332,665,665,332,,,,298,319,325,325,319,325,319,325
A,A 13800 TRAN S1 CART280 WLGPTR INDIA EAS,"7,590",,,,9900,6270,9900,8250,7260,7920,5720,14520,23760,7590,6930,7920,,2317,5514,5507,5507,5507,5507,5507
A,A 13800 TRAN S1 CART280 WLGPTR INDIA AUT,,,,,,5610,5610,,5940,8580,5940,15840,18315,2145,1863,2145,1891,2145,1891,2145,1891,2145,1891,2145
A,A 13800 BLAC S1 CART280 WLGPBL INDIA EAS,"1,994",,,,,2992,,1330,1662,1662,3227,3989,2659,3324,1994,1330,,,,1136,1274,1274,1274,1274
A,A 13800 BLAC S1 CART280 WLGPBL INDIA AUT,"5,318",,,,,1662,1662,1662,,7645,1662,5318,5983,,658,2895,2895,2895,2895,2895,2895,2895,2895,2895
A,A 13800 BLAC S1 CART280 WLGPBL INDIA NCK,"5,318",,,,,,3656,,,5651,3656,3656,4986,,,,2181,2701,2708,2701,2708,2701,2708,2701
A,A 11500 BRON S4 200KG DRUM ST,,,,4000,,,,4000,,,,,,3680,1472,1472,736,736,1472,736,1472,1472,1472,1472
A,A 20378 C BLACK 05 SAUS 600 WLGA WZJG,,,837,,,776,1008,,1008,,,,504,504,504,,,504,,504,,504,504,615
A,A 20378 C WHITE S7 SAUS 500 WLGA WZJG,,,,,,,,,,,,,,,,,672,,,,,,,
A,A 20378 C BLACK 05 SAUS 500 WLGA WZJG,,,658,,1330,2016,1358,,,,,,672,672,672,,672,,672,,672,672,672,941
A,A N2011 CN TRANS 190kg Drum,,,,,,,566,,561,,,,577,577,,,,,,,,,577,
A,A 17940 P TRAN S1 210KG DRUM ST,136,,740,,660,1424,,725,3037,840,1458,1461,1510,1510,755,1510,755,755,,755,755,755,755,755
A,A 14030 TRAN S1F CART 280 W?SIRACTRA 702,,,,,,,,,,,,,317,165,,165,,165,,165,,165,,
A,A 20240 TRAN S1 CART 300 W?SILNEUTRA 702,,,,,,,,,389,,,382,180,,180,,180,,180,,,180,,180
A,A 20240 WHIT S1 KART 300 W?SILNEUBLAN702,,,,,,,,,,,,349,,182,,182,,182,,182,,,182,
A,A 20240 BLAC S1 KART 300 W?SILNEUNEGR702,,,,,393,,305,,698,,,698,,182,182,,182,182,,182,,182,182,
A,A 13800 TRAN S1 CART 280 Sista Mexico,"88,073","74,670",,,,,,7658,54567,,40486,36119,40207,26486,26007,25256,24385,26678,32715,4009,5352,16693,16334,15623
A,A 13800 WHITE S1 CART 280 Sista Mexico,,"24,252",,,,,319,5744,11488,,16274,31591,8563,17857,3710,4541,3477,5279,6203,2234,2699,4401,4215,4148
A,A 13800 BLACK S1 CART 280 Sista Mexico,,"12,445",,,,,8616,,1915,,2872,18189,3364,7526,2287,2460,2234,2633,3258,765,984,2234,1669,1788
A,A 13800 TRANS S1 CART 260 Bosco ME,,"2,072",,,,,,,,888,,,,296,296,296,296,296,296,296,296,,296,296
A,A 13800 WHITE S1 CART 260 Bosco ME,,"4,811",,,,,,,,7216,,,,1203,1203,1203,1203,902,902,1203,902,1203,902,902
A,A 13800 BLACK S1 CART 260 Bosco ME,,"2,105",,,,,,,,902,,,,301,301,301,301,301,301,301,301,301,301,
A,A 16330 TRAN S1 KART 300 WLAF WZJG,,,356,673,1454,,,938,,,858,1469,,1156,1440,574,1309,,,734,654,654,342,342
A,A 16330 WHIT S1 KART 300 WLAF WZJG,,,727,465,1433,,,676,,778,1563,1513,182,2145,2145,771,1578,,,880,785,785,407,407
A,A 13800 TRAN S1 CART280 WLGPTR INDIA HAM,,,,,,3960,,,5610,,5610,,2640,,,,,,,,,268,323,323
A,A 13800 BLAC S1 CART280 WLGPBL INDIA HAM,,,,,,997,,,332,,997,665,,,,,,,,,,166,,166
A,A 13800 WHIT S1 CART280 WLGPWH INDIA HAM,,,,,,4986,,,3989,,3324,6648,,,,,,,,,,,,
A,A 13800 TRAN S1 CART280 WLGPTR INDIA Sid,,,"4,984",,,,,5514,,,5500,,5610,,392,406,406,406,406,406,406,406,406,406
A,A 13800 BLAC S1 CART280 WLGPBL INDIA SID,,,"3,324",,,,,,,,,,1662,,277,270,277,270,277,270,270,277,270,277
A,A 13800 WHIT S1 CART280 WLGPWH INDIA Sid,,,"1,662",,,,,4626,,,4432,,2659,,166,166,,166,166,166,166,,166,166
A,A 11155 ALUM 13 CART 280 WLPA SEA ZJG,,,,,720,,,,,,,,180,,180,,,180,,,180,,,180
A,A 17940 P Trans S1 KART 300 WLDA WZJG,,,407,713,633,662,713,365,996,2240,1207,1207,1018,1331,814,1331,604,705,480,284,851,858,654,654
A,A 20470 BROWN 73 SAUS 500 WLOS WZJG,,"1,022",,,,,,,,,,,691,,,,,,,691,,,,
B,B 300 CN TRAN S1 CART 300 C9004,,,"3,121",,,,,,,,,,275,252,237,252,199,184,184,214,207,237,283,283
A,A 17940 P WHITE S1 210KG DRUM ST,,,,750,,773,690,827,1497,760,1491,1495,,1510,755,755,,755,,,755,755,755,
A,A 20251.5 ALUM S1 SAUS 500 WLOS WZJG,,,698,,,,,,,,,,466,,,,,466,,,,,,
A,A 20470 BROWN 82 ZJG BARR 270KG,,,,1058,,,,1080,,,2364,,,,1083,,,,,,,,,1083
A,A 20470 BROWN 82 CART 300 WLOS WZJG,,,,,,,,1026,,,,2084,259,,259,,,259,,259,,,,259
A,A 16336.9 P TRAN S1F 210KG DRUM ST,,,,,,,705,,655,,,,,,,,,,,,,,,
A,A 13800 TRAN S1 CART280 WLGPTR INDIA BHA,,,,,5610,10560,,,17160,8910,,13860,,784,777,777,777,777,777,777,777,777,777,777
A,A 13800 WHIT S1 CART280 WLGPWH INDIA BHA,,,,,5318,4654,,,1330,,,3324,,596,596,596,596,596,596,596,596,596,596,596
A,A 13800 BLAC S1 CART280 WLGPBL INDIA BHA,,,,,,3656,,,1330,997,,2659,,242,242,235,242,242,235,242,242,235,242,235
A,A 20470 BROWN 82 SAUS 500 WLOS WZJG,,,,,994,,,,,,,,691,,,,,691,,,,,,
A,A 17940 P WHITE S1 KART 300 WLDA WZJG,,,,713,,698,,400,1433,989,1142,1214,182,684,502,814,335,378,269,182,436,465,356,356
A,A 20470 GREY S1 SAUS 500 WLOS WZJG,,,,,1238,,,,,950,,,691,,,691,,,691,,,691,,
A,A 20251.5 TRAN S1 195KG DRUM 567 ST,,,,,,85058,,,,,,,13965,,3675,3675,5145,5145,4410,5145,4410,6615,8085,5880
A,A 11736.9 P TRAN S1F 200KG DRUM ST,,,,,,1400,,,,,,,8000,8800,9600,9600,8000,8000,8000,8000,7200,8000,,
A,A 9436.9 P TRAN S1F 210KG DRUM ST,,,,,,,,,,3570,,,,,,,,,,,,,,
A,A 14036.9 P TRAN S1F 200KG DRUM ST,,,,,,2000,,,,,,,5800,,,,7200,,,,7600,,,
A,A 20700 BROW 83 200KG DRUM ST,,,,,,,726,,,,2186,,746,,,,,,,,,,746,
D,D 90 CN WHIT S1 270KG DRUM ST,,,,,,,,,,,945,,,,,,,,,,,,,
A,A 18400 N TRAN S1 200KG DRUM ST,,,,,,,700,,665,,,,,,,,,,,,,,,
A,A 20700 BROW 83 CART 300 WLGM WZJG,,,,,,,,698,,,,2137,184,,184,,,184,,184,,,184,
A,A 11155 BRON S1 CART 280 WLPA SEA ZJG,,,,,,,,,,,1080,,,,,,,,,,,,,
A,A 20700 GREY S2 200KG DRUM ST,,,,,,,1452,,,783,2367,832,746,746,,746,,746,,,746,746,,
A,A 20700 GREY S3 200KG DRUM ST,,,,,,,747,,,,730,1500,746,,,,,,,,,,746,
A,A 20700 GREY 52 200KG DRUM,,,,,,,1448,,,,1465,1463,746,,,746,,,,746,,,746,
A,A 11736.9 P WHIT S1F 200KG DRUM ST,,,,,,,,,,,,,9600,8800,9600,9600,8000,8000,8000,8000,7200,8000,,
A,A 11736.9 P BLAC S1F 200KG DRUM ST,,,,,,,,,,,,,9600,8800,9600,9600,8000,8000,8000,8000,7200,8000,,
A,A 20700 GREY S3 CART 300 WLGM WZJG,,,,,,,,734,,,712,1469,184,,184,,,184,,184,,,184,
A,A 20700 GREY 52 CART 300 WLGM WZJG,,,,,,,,1417,,,1425,1417,198,206,213,213,206,213,184,184,250,257,184,184
A,A 20700 GREY S2 CART 300 WLGM WZJG,,,,,,,,1425,,573,1388,1550,690,353,353,345,353,345,198,353,441,433,198,198
A,A 11736.9 P GREY S2F 200KG DRUM ST,,,,,,,,,,,,,,18400,9600,9600,8000,8000,8000,8000,7200,8000,,
A,A 11736.9 P BROWN S1F 200KG DRUM ST,,,,,,,,,,,,,,18400,9600,9600,8000,8000,8000,8000,7200,8000,,
A,A 20700 BEIG 48 200KG DRUM ST,,,,,,,,,739,753,,,750,,,,750,,,,,750,,
A,A 20472.3 WHIT S7 ZJG BARR 270KG,,,,,,,,,2955,2286,4070,3016,14434,7217,8248,7217,6186,6186,6186,5155,6186,3093,,
A,A 20700 BEIG 48 CART 300 WLGM WZJG,,,,,,,,,,1072,323,,184,184,184,184,184,184,,184,184,184,,
A,A 20472.3 BLAC 06 ZJG BARR 270KG,,,,,,,,,13857,63333,23956,45914,,6304,7354,9456,5253,6304,6304,5253,6304,6304,,
A,A 11736.9 P IVOR 05F 200KG DRUM ST,,,,,,,,,,,,,,18400,9600,9600,8000,8000,8000,8000,7200,8000,,
A,A 11736.9 P BRON S1F 200KG DRUM ST,,,,,,,,,,,,,,18400,9600,9600,8000,8000,8000,8000,7200,8000,,
A,A 11736.9 P ALUM S1F 200KG DRUM ST,,,,,,,,,,,,,,18400,9600,9600,8000,8000,8000,8000,7200,8000,,
A,A 14036.9 P GREY S2F 200KG DRUM ST,,,,,,,,,,,,,,1600,,,1400,,,,1600,,,
A,A 20472.3 BROW 73 270KG DRUM ZJG,,,,,,,,,,,,,10506,7354,7354,9456,6304,5253,6304,6304,5253,6304,,
A,A 20472.3 BROW 82 270KG DRUM ZJG,,,,,,,,,,,,,10712,7498,7498,9641,5356,5356,6427,6427,5356,6427,,
A,A 20472.3 BLAC 06 SAUS 500 WLW WZJG,,,,,,,,,,4032,14935,32326,32746,34062,37828,44128,26516,26012,28378,27832,28140,26796,,
A,A 20472.3 WHITE S7 SAUS 500 WLW WZJG,,,,,,,,,,,3360,4046,3724,6314,7000,8120,4970,4816,5250,5110,5250,4970,,
A,A 20378 T WHIT ZJG DR 270 KG,,,,,,,,,,,,948,,,,,,,,,,,,
D,D 85 CN WHIT S1 270KG DRUM ST,,,,,,,,,,,,,,,,,,,,,,,,
A,A 20472.3 WHIT S7 CART 300 WLOS WZJG,,,,,,,,,,,,,,,,,,,,,,,,
A,A 20472.3 BLAC 06 CART 300 WLOS WZJG,,,,,,,,,,,,,664,,,,,,,,,,,
A,A 20472.3 BLAC 06 SAUS 600 WLOS WZJG,,,,,,,,,,,1555,,2893,2841,3525,3525,1991,2167,2364,2302,2364,2229,,
A,A 20472.3 BLACK 06 SAUS 500 WLOS WZJG,,,,,,,,,,,,1382,,,,,,,,,,,,
A,A 14036.9 P TRAN S1F CART 310 W?CANADA 083,,,,,,,,,,,,,3485,,,,2996,,,,3485,,,
A,A 14036.9 P WHIT S1F CART 310 W?CANADA 083,,,,,,,,,,,,,2526,,,,2520,,,,2520,,,
A,A 14036.9 P BLAC S1F CART 310 W?CANADA 083,,,,,,,,,,,,,1443,,,,1443,,,,1436,,,
A,A 14036.9 P GREY S2F CART 310 W?CANADA 083,,,,,,,,,,,,,1443,,,,1443,,,,1436,,,
A,A 20378 T BLAC 05 ZJG DR 270 KG,,,,,,,,,,,,998,,,,,,,,,,,,
A,A 20472.3 GREY 93 ZJG BARR 270KG,,,,,,,,,,,,,10413,7289,8331,8331,6248,6248,5207,6248,6248,6248,,
A,A 20472.3 GREY S1 ZJG BARR 270KG,,,,,,,,,,,,,10506,7354,7354,9456,6304,5253,6304,6304,5253,6304,,
A,A 18400 TRAN S1 CART 300 SIKAMPTRAN,,,,,,,,,,,,,,,,,,,,,,,,
A,A 18630 TRAN S1 CART 300 SIKACTRAN,,,,,,,,,,,,,,,,,,,,,,,,
A,A 18630 WHIT S1 CART 300 SIKACWHIT,,,,,,,,,,,,,,,,,,,,,,,,
D,D 90 CN GREY S7 270KG DRUM ST,,,,,,,,,,,,,,,,,,,,,,,,
D,D 85 CN GOLD 007 270KG DRUM ST,,,,,,,,,,,,,,,,,,,,,,,,
D,D 85 CN SILVER 016 220KG DRUM ST,,,,,,,,,,,,,,,,,,,,,,,,
